2019-04-09;650879;58671728;201;price<=>price<br>price<=>395000<br>m<=>139<br>building_type<=>detached<br>build_year<=>2010<br>windows_type<=>plastic<br>location<=>
2019-04-10;563052;58685500;401;price<=>price<br>price<=>60000<br>m<=>1400<br>location<=>
2019-04-12;514495;58721740;101;price<=>price<br>price<=>395000<br>m<=>54<br>building_type<=>block<br>windows_type<=><br>build_year<=>1975
2019-04-14;2435764;58744436;102;price<=>price<br>price<=>970<br>m<=>41<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-15;4508128;58754208;101;price<=>price<br>price<=>167000<br>m<=>28<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>1976
2019-04-17;23432;58792856;102;price<=>price<br>price<=>2200<br>m<=>59.6<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2010
2019-04-19;514495;58816244;101;price<=>price<br>price<=>400000<br>m<=>56.5<br>building_type<=>block<br>windows_type<=><br>build_year<=>2012
2019-04-23;3875259;58842064;102;price<=>price<br>price<=>1100<br>m<=>38<br>building_type<=><br>windows_type<=>plastic<br>build_year<=>
2019-04-02;923608;58561132;602;price<=>price<br>price<=>52800<br>m<=>2200
2019-04-03;427353;58575724;101;price<=>price<br>price<=>298000<br>m<=>84<br>building_type<=><br>windows_type<=>plastic<br>build_year<=>2017
2019-04-04;3661567;58595620;502;price<=>price<br>price<=>8000<br>m<=>160<br>building_type<=><br>build_year<=>
2019-04-06;2297140;58625608;201;price<=>price<br>price<=>590000<br>m<=>130<br>building_type<=>semi_detached<br>build_year<=>2017<br>windows_type<=>plastic<br>location<=>
2019-04-08;2736150;58638964;102;price<=>price<br>price<=>7480<br>m<=>150<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>
2019-04-08;556182;58644968;101;price<=>price<br>price<=>264000<br>m<=>45<br>building_type<=>apartment<br>windows_type<=><br>build_year<=>
2019-04-08;2763008;58651804;101;price<=>price<br>price<=>455000<br>m<=>97<br>building_type<=><br>windows_type<=>plastic<br>build_year<=>2004
2019-04-08;2620724;58654608;102;price<=>price<br>price<=>2200<br>m<=>60<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2008
2019-04-09;3533076;58660540;502;price<=>price<br>price<=>2400<br>m<=>40<br>building_type<=>office_building<br>build_year<=>
2019-04-10;445364;58679348;401;price<=>price<br>price<=>447000<br>m<=>1730<br>location<=>
2019-04-11;4713212;58700296;102;price<=>price<br>price<=>2222<br>m<=>22<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-11;1559200;58701148;101;price<=>price<br>price<=>699000<br>m<=>55<br>building_type<=>apartment<br>windows_type<=>wooden<br>build_year<=>
2019-04-12;2467510;58733492;101;price<=>price<br>price<=>722280<br>m<=>69.45<br>building_type<=>apartment<br>windows_type<=>plastic<br>build_year<=>2017
